Title,Content,Stars
Easy to navigate website,Easy to navigate website,5
Great company!,Great company! first class service. Do every thing they can to help when it's required.,5
1st class service / great live chat…,1st class service / great live chat that got results & a fair price.,5
simple process and easy to understand…,simple process and easy to understand the quote,5
brilliant,"brilliant, quick n easy",5
Just a simple easy process to insure a…,Just a simple easy process to insure a property we are administrators for. Other companies wanted far more money for the same cover,4
Automatic renewal,"Automatic renewal, so no action required on my part.  I have not needed to make any claims or to contact the company, so no problems encountered.",5
Couldn't believe the quote was so low,It was so easy to fill in the form and I  couldn't believe the quote was so low,5
First class service A1,First class service A1,5
I haven't needed to make a claim but…,I haven't needed to make a claim but found customer service very easy to deal with to resolve queries on the policy,5
The person I spoke to was efficient,"The person I spoke to was efficient, knowledgeable and courteous.",5
Home Protect is always competitively…,Home Protect is always competitively priced which is why I have renewed with them twice. Additionally any time I have needed to contact them they have been extremely polite and helpful. I do compare prices every time my renewal comes round but Home Protect  have actually reduced my premium so they get my business again.,5
Cheap looking but no contact,"Although there is a good priced, very competitive quote, what is included is opaque and takes a lot of digging. By the time you've found that you've included accidental damage for buildings but that doesn't cover any internal floors, walls or ceilings the quote is less competitive. It is also impossible to contact them to query or amend your details - you have to go through creating a brand new quote.",3
Good price for basic cover,Good price for basic cover. Particularly helpful live chat.,5
All very straight forwarding easy,All very straight forwarding easy,5
Easy to arrange and clear information.,Easy to arrange and clear information.,5
Very quick,"Very quick, easy and simple",5
Easy to set up and very affordable,Easy to set up and very affordable,5
quite easy to go through the process,quite easy to go through the process,4
Renewal quote just over £1000 found…,"Renewal quote just over £1000 found same policy on comparison site with Homeprotect at half the price. When I contacted them they offered me an £80 discount as a loyal customer from the £1000 quote !! Now sending me emails in red telling me to contact them. Needless to say not renewed with them. Do not auto renew but shop around. I was with them for 16 years, so much for customer loyalty. Will you stop contacting me I have taken out a policy elsewhere. I feel bullied that you won’t accept your extremely poor customer services. I asked you to match the quote from the comparison website and you treated me with disdain. To offer £80 for being a loyal customer was pathetic. Please leave me alone.",1
Easy to fill out all details on website,Easy to fill out all details on website,5
An absurd renewal quote quickly amended!,"The renewal quote was absolutely absurd, nearly 40% higher than last year.  However, a quick call to Selam and we hit a reasonable figure.  She was brilliant, you really want an efficient, no nonsense conversation and that’s what I got.",5
can provide Airbnb cover,finally got company who can actually provide Airbnb cover,5
Very efficient,"Quick, simple & competitive",5
This was so easy and straightforward,"This was so easy and straightforward, at a good clear cost.",5
Able to navigate easily between pages…,Able to navigate easily between pages and information.  Prices are competitive and in some areas more competitive.  Option available for live chat if needed which is a bonus.,4
Easy to deal with clear information,Easy to deal with clear information,5
The complete insurance product …,One of the reasons that i remain a loyal customer of Home Protect is that the recognise the time that i been with the company. Secondly Home Protect have a product that meets my needs completely.,4
An easy process,An easy process,5
Excellent communication speeds and service,"Easy, swift and professional, just like the good old days but in modern times speaking to a human and not a robot.",5
Competitive renewal price and ease in…,Competitive renewal price and ease in adding relavent changes to circumstances,4
expensive but web experience ok,web site relatively easy and interlinked with go compare well. expensive  given my no claims free years 9+,4
Easy process and competitive price,Easy process and competitive price,5
I’d give -1star of if I could…,"I’d give -1star of if I could absolutely shocking company!    I had 2 watches stolen whic I had them insured and covered separately, £18,000 worth of watches got stolen from me and they didn’t cover it because I was hurt or threatened with a knife.",1
Helpful on line chat which answered my…,Helpful on line chat which answered my question about the property being empty,5
