Title,Content,Stars
AVOID AT ALL COSTS,"I raised a simple claim back in April for paint on the carpet. It’s now July, over 3 months later, and still no resolution. Despite being a loyal policyholder for over 7 years, I’ve faced endless back and forth: home visits, video calls, countless photos sent. Worse still, all the effort to chase this up has fallen on me, endless emails and calls just to get basic updates. They’ve made the process as difficult and drawn out as possible. I shudder to think what would happen if this were a major disaster or my home was uninhabitable. Absolutely appalling service. Avoid this company at all costs.",1
Easy process,Easy to go through the quote process and good price,5
Home insurance product which is comprehensive and priced fairly,"First of all, it's a none compromise, to not have home insurance cover.  I have found that there are any companies promoting fair prices with a good level of cover, yet when you read the small print this isn't quite the case - regarding the cover that is.  Homeprotect are a company I have used for over 2 years and will without a doubt consider them in the future.  Thankfully, I haven't needed to use my policy.  This is a good thing all-in, I don't want to be claiming on my policy.  But need to have this in place just on that 1% chance something occurs within the home and so the cover kicks in.  Would I recommend Homeprotect - yes. Why would I recommend Homeprotect - they provide more than an adequate level of cover and matched with a very good pricing structure.",5
Excellent service,Excellent service,5
Fast and great quote,Fast and great quote. I was amazed by the price I got for the very comprehensive home cover.,5
Easy to understand and make judged…,Easy to understand and make judged decisions,5
Be sure you include accurately what you wish to insureem is easy enough to…,The online system is easy enough to navigate as long as you keep in mind the need to give an accurate representation of your insurance needs.,4
Nice and simple,Nice and simple. I hope I never have to test the policy.,5
Great service,"Great service, really happy with the price and so easy to complete the process, I highly recommend Homeprotect.",5
It was easy to buy the insurance online,It was easy to buy the insurance online,5
Information well provided,"Information well provided; clarity of terminology, Clear and logical process",5
Easy quote system and buying process.,Easy quote system and buying process.  Great price,5
Easy to follow on line .…,"Easy to follow on line being of the older generation , they do what they with good communication which is clear and easy to understand and at a fair price .",5
The web site was straightforward and…,The web site was straightforward and easy to use.,5
Home Protect cancelled my house insurance!!!,"Home Protect cancelled my house insurance policy ""by mistake"", they did not write to me, so I was without home insurance for months. Only when I checked, did they say ""Oh, that's not right"". Then they charged me £500 a year more for the SAME COVER!!!",1
The very best quote for an unoccupied property and very speedy response to online chat queries,"The price for an unoccupied property going through probate was unbeatable. It was irritating to find the days unoccupied defaulted to being 0-30 whilst the property status showed as unoccupied when the documents were produced, but chatting online resolved that to being up to 365 days without any extra charges.  We have had empty property insurance in the past, the conditions abd cover on this policy match what most other companies offer but for a fraction of the price.  With all insurance, the real test is if a claim needs to be made, so I hope (like most of us do) that I never need to find out how good that process is,  if that ever occurs I will share that experience.",5
